t,x,y,match,team,player,won,tstd,tsync,tper,tier,zone
2542166,103,51,591890072,dire,Fnatic%2ETrixi,0,1663533,1664,0.000654559930390069,Pro,jungle dire
2541966,97,50,591890072,radiant,RoX%2EKIS%2E633%3C3%20Sveta,1,1663333,1664,0.000654559930390069,Pro,jungle dire
2541900,85,52,591890072,radiant,RoX%2EKIS%2EGoblak,1,1663267,1664,0.000654559930390069,Pro,jungle dire
2541833,102,50,591890072,radiant,RoX%2EKIS%2ESedoy,1,1663200,1664,0.000654559930390069,Pro,jungle dire
2542100,101,51,591890072,radiant,RoX%2EKIS%2ESolo,1,1663467,1664,0.000654559930390069,Pro,jungle dire
2541900,102,56,591890072,radiant,RoX%2EKIS%2Eyol,1,1663267,1664,0.000654559930390069,Pro,jungle dire
1925700,82,36,593051940,radiant,%40MiSeRyDOTA,1,1216500,1217,0.000631890697966631,Pro,jungle radiant
1925966,85,51,593051940,radiant,%40MSSDota,1,1216766,1217,0.000631890697966631,Pro,jungle dire
1925966,86,53,593051940,radiant,%40PajkattDota,1,1216766,1217,0.000631890697966631,Pro,pit dire
1925900,82,42,593051940,radiant,standin%20rmN%2D,1,1216700,1217,0.000631890697966631,Pro,river
1925700,69,58,593051940,radiant,standin%2EExist,1,1216500,1217,0.000631890697966631,Pro,jungle dire
1925966,87,54,593051940,dire,Virtus%20pro%20%3E%20G,0,1216766,1217,0.000631890697966631,Pro,void dire
1920033,79,27,593051940,dire,Virtus%2Epro%20%3E%20AA,0,1210833,1211,0.000628775378173862,Pro,jungle radiant
1920033,78,24,593051940,dire,Virtus%2Epro%20%3E%20IllidanSTR,0,1210833,1211,0.000628775378173862,Pro,jungle radiant
1920033,77,22,593051940,dire,Virtus%2Epro%20%3E%20JotM,0,1210833,1211,0.000628775378173862,Pro,jungle radiant
1920033,73,22,593051940,dire,Virtus%2Epro%20%3E%20NS,0,1210833,1211,0.000628775378173862,Pro,jungle radiant
3180066,80,19,593144800,dire,%5BHyperX%5D%20Liquid%60qojqva,0,2402500,2403,0.000755644694166725,Pro,void radiant
3180066,116,107,593144800,dire,%5BHyperX%5D%20Liquid%60TC,0,2402500,2403,0.000755644694166725,Pro,base2 dire
3180066,117,109,593144800,dire,%5BHyperX%5D%20Liquid%60wayto,0,2402500,2403,0.000755644694166725,Pro,base2 dire
3180066,98,95,593144800,dire,2%2E,0,2402500,2403,0.000755644694166725,Pro,base2 dire
3180066,99,91,593144800,radiant,EG%2EArteezy,1,2402500,2403,0.000755644694166725,Pro,base2 dire
3180066,102,89,593144800,radiant,EG%2EPPD,1,2402500,2403,0.000755644694166725,Pro,base2 dire
3180066,105,91,593144800,radiant,EG%2EUniverse,1,2402500,2403,0.000755644694166725,Pro,base2 dire
3180066,117,106,593144800,radiant,EVILGENIUSES%2EZAI,1,2402500,2403,0.000755644694166725,Pro,base2 dire
3180066,117,107,593144800,dire,standin%2E%2Edotademon,0,2402500,2403,0.000755644694166725,Pro,base2 dire
3180066,104,87,593144800,radiant,standin%2Emason%20%3C3%20h%2Dmoe,1,2402500,2403,0.000755644694166725,Pro,base2 dire
2340233,86,41,599472634,dire,Empire%2EALWAYSWANNAFLY,1,2241367,2242,0.000958024265105227,Pro,river
2340233,82,50,599472634,dire,Empire%2EMag,1,2241367,2242,0.000958024265105227,Pro,jungle dire
2340233,88,50,599472634,dire,Empire%2EResolut1on,1,2241367,2242,0.000958024265105227,Pro,jungle dire
2340233,82,34,599472634,dire,Empire%2ESilent%20%3C3%20Mila,1,2241367,2242,0.000958024265105227,Pro,jungle radiant
2340233,92,50,599472634,dire,Empire%2EVANSKOR%20%3C3%20MeowMeow,1,2241367,2242,0.000958024265105227,Pro,jungle dire
2340233,79,44,599472634,radiant,Na%60Vi%20kky,0,2241367,2242,0.000958024265105227,Pro,river
2340233,80,28,599472634,radiant,Na%60Vi%2EDendi,0,2241367,2242,0.000958024265105227,Pro,jungle radiant
2340233,90,48,599472634,radiant,Na%60Vi%2EFunn1k,0,2241367,2242,0.000958024265105227,Pro,jungle dire
2340233,81,41,599472634,radiant,Na%60Vi%2EPuppey,0,2241367,2242,0.000958024265105227,Pro,river
2340233,81,52,599472634,radiant,Na%60Vi%2EXBOCT,0,2241367,2242,0.000958024265105227,Pro,jungle dire
1986433,32,11,599569853,dire,%40MiSeRyDOTA,1,1133967,1134,0.000570738336101465,Pro,base1 radiant
1986166,19,8,599569853,dire,%40MSSDota,1,1133700,1134,0.000570738336101465,Pro,void radiant
1986700,23,13,599569853,dire,%40PajkattDota,1,1134234,1135,0.000571241632694147,Pro,base1 radiant
1981566,40,9,599569853,radiant,%CE%A3%20MAD,0,1129100,1130,0.000568725149730736,Pro,bottomlane radiant
1986700,22,13,599569853,radiant,%CE%A3%20Paris,0,1134234,1135,0.000571241632694147,Pro,base1 radiant
1986500,39,15,599569853,dire,Alex%2D,1,1134034,1135,0.000571241632694147,Pro,bottomlane radiant
1986900,19,13,599569853,radiant,FATA%2D,0,1134434,1135,0.000571241632694147,Pro,base1 radiant
1986166,21,17,599569853,radiant,paS%2D%2D,0,1133700,1134,0.000570738336101465,Pro,base1 radiant
1986833,21,10,599569853,dire,standin%2E%20Exist,1,1134367,1135,0.000571241632694147,Pro,base1 radiant
1986900,13,11,599569853,radiant,Standin%2ECrio_J%20%EC%A7%84%EB%A7%88%EC%99%95,0,1134434,1135,0.000571241632694147,Pro,base1 radiant
3300400,25,11,599633031,dire,%5BA%5D%20s4%20HyperX,1,2753667,2754,0.000834444309780633,Pro,base1 radiant
3300400,23,10,599633031,dire,%5BA%5DdmiralBulldog%20HyperX,1,2753667,2754,0.000834444309780633,Pro,base1 radiant
3300400,30,16,599633031,dire,%5BA%5Dkke%20HyperX,1,2753667,2754,0.000834444309780633,Pro,base1 radiant
3300400,24,26,599633031,radiant,%CE%A3%20MAD,0,2753667,2754,0.000834444309780633,Pro,base1 radiant
3300400,32,30,599633031,radiant,%CE%A3%20Paris,0,2753667,2754,0.000834444309780633,Pro,midlane radiant
3300400,29,12,599633031,dire,%E6%AD%A3%E7%BE%A9%20Lod%5BA%5D%20HyperX,1,2753667,2754,0.000834444309780633,Pro,base1 radiant
3300400,13,11,599633031,radiant,FATA%2D,0,2753667,2754,0.000834444309780633,Pro,base1 radiant
3300400,46,13,599633031,radiant,paS%2D%2D,0,2753667,2754,0.000834444309780633,Pro,bottomlane radiant
3300400,19,15,599633031,radiant,Standin%2ECrio_J%20%EC%A7%84%EB%A7%88%EC%99%95,0,2753667,2754,0.000834444309780633,Pro,base1 radiant
3300400,28,26,599633031,dire,sword,1,2753667,2754,0.000834444309780633,Pro,base1 radiant
3360366,8,7,600841581,radiant,AA,0,2595333,2596,0.000772534896496394,Pro,base1 radiant
3360366,50,36,600841581,dire,beaverknight,1,2595333,2596,0.000772534896496394,Pro,void radiant
3360366,53,36,600841581,dire,C9%20Aui_2000,1,2595333,2596,0.000772534896496394,Pro,jungle radiant
3360366,52,45,600841581,dire,C9%20bOne7%20%3C3%20MeowMeow,1,2595333,2596,0.000772534896496394,Pro,midlane radiant
3360366,38,38,600841581,dire,C9%20Ouki,1,2595333,2596,0.000772534896496394,Pro,midlane radiant
3360366,44,43,600841581,dire,C9%20pieliedie,1,2595333,2596,0.000772534896496394,Pro,midlane radiant
3360366,86,33,600841581,radiant,Virtus%20pro%20%3E%20G,0,2595333,2596,0.000772534896496394,Pro,void radiant
3360366,84,56,600841581,radiant,Virtus%2Epro%20%3E%20IllidanSTR,0,2595333,2596,0.000772534896496394,Pro,pit dire
3360366,76,49,600841581,radiant,Virtus%2Epro%20%3E%20JotM,0,2595333,2596,0.000772534896496394,Pro,river
3360366,81,52,600841581,radiant,Virtus%2Epro%20%3E%20NS,0,2595333,2596,0.000772534896496394,Pro,jungle dire
2280066,32,33,600946678,dire,KingR%3F%21,1,1523200,1524,0.000668401704161195,Pro,midlane radiant
2280066,37,33,600946678,dire,Na%60Vi%20kky,1,1523200,1524,0.000668401704161195,Pro,midlane radiant
2280066,43,43,600946678,dire,Na%60Vi%2EDendi,1,1523200,1524,0.000668401704161195,Pro,midlane radiant
2280066,38,39,600946678,dire,Na%60Vi%2EPuppey,1,1523200,1524,0.000668401704161195,Pro,midlane radiant
2280066,28,30,600946678,dire,Na%60Vi%2EXBOCT,1,1523200,1524,0.000668401704161195,Pro,base1 radiant
2280066,46,45,600946678,radiant,RoX%2EKIS%2E633%3C3%20Sveta,0,1523200,1524,0.000668401704161195,Pro,midlane radiant
2280066,10,7,600946678,radiant,RoX%2EKIS%2EGoblak,0,1523200,1524,0.000668401704161195,Pro,base1 radiant
2280066,31,28,600946678,radiant,RoX%2EKIS%2ESolo,0,1523200,1524,0.000668401704161195,Pro,base1 radiant
2280066,9,6,600946678,radiant,RoX%2EKIS%2EYodes,0,1523200,1524,0.000668401704161195,Pro,base1 radiant
2280066,8,7,600946678,radiant,RoX%2EKIS%2Eyol,0,1523200,1524,0.000668401704161195,Pro,base1 radiant
2660533,11,10,601028596,radiant,MYM%20Ace,0,1851767,1852,0.000687436759158833,Pro,base1 radiant
2687266,19,15,601028596,radiant,MYM%20Cr1t%2D,0,1878500,1879,0.000697458785345274,Pro,base1 radiant
2680333,13,17,601028596,radiant,MYM%20LINK,0,1871567,1872,0.0006948604822599,Pro,base1 radiant
2694066,10,6,601028596,radiant,MYM%20Ryze,0,1885300,1886,0.000700057088430647,Pro,base1 radiant
2676800,21,22,601028596,radiant,MYM%20unicorn,0,1868034,1869,0.00069374692379474,Pro,base1 radiant
2693266,24,17,601028596,dire,Na%60Vi%20kky,1,1884500,1885,0.000699685902275594,Pro,base1 radiant
2692533,84,49,601028596,dire,Na%60Vi%2EDendi,1,1883767,1884,0.000699314716120541,Pro,jungle dire
2693333,12,17,601028596,dire,Na%60Vi%2EFunn1k,1,1884567,1885,0.000699685902275594,Pro,base1 radiant
2693400,21,22,601028596,dire,Na%60Vi%2EPuppey,1,1884634,1885,0.000699685902275594,Pro,base1 radiant
2693200,22,22,601028596,dire,Na%60Vi%2EXBOCT,1,1884434,1885,0.000699685902275594,Pro,base1 radiant
