x,y,count
5,97,1
112,49,3
104,108,1
113,48,7
113,107,1
21,102,4
118,40,2
57,105,2
113,106,1
15,90,3
13,85,8
21,105,2
79,103,5
91,28,2
97,113,1
114,91,1
88,11,2
77,25,3
100,13,2
89,102,2
85,82,2
71,11,1
19,89,3
75,67,4
7,95,5
65,76,2
87,86,2
115,105,3
13,88,6
65,12,1
111,51,3
86,76,4
119,95,1
15,92,5
18,102,4
15,78,6
17,95,6
108,17,1
40,38,3
93,15,5
93,14,4
113,42,6
98,13,3
108,21,5
119,27,1
32,30,7
16,100,5
17,64,2
34,34,2
11,104,1
52,107,2
110,22,3
110,21,4
13,50,1
72,13,1
56,54,11
45,83,2
88,59,1
58,55,11
31,59,1
19,9,6
24,7,3
39,22,2
40,99,4
16,101,5
22,90,2
65,62,6
79,65,2
42,39,4
31,38,1
13,53,2
16,82,3
13,70,3
19,94,1
72,56,4
52,48,4
12,41,4
20,98,2
115,35,5
34,38,2
75,25,2
22,99,1
84,57,6
52,66,2
49,47,6
51,51,10
86,41,3
78,60,5
123,106,1
113,104,2
93,10,3
15,99,2
42,82,1
116,92,1
116,106,2
111,98,1
108,39,3
91,21,2
79,107,1
97,92,1
118,91,1
72,97,6
18,92,2
14,75,7
13,71,2
42,10,3
71,97,3
17,87,10
7,100,2
15,9,3
42,13,2
17,86,5
15,80,6
56,66,1
11,52,1
24,90,3
104,11,2
77,10,3
9,59,1
117,109,6
68,18,1
54,55,12
20,97,3
55,10,5
11,66,1
36,103,2
19,105,1
106,23,3
81,73,4
71,66,2
112,64,1
100,107,1
112,82,2
18,100,6
14,94,7
73,40,6
90,83,4
101,60,4
94,87,26
20,101,9
111,32,2
84,45,4
90,104,1
95,84,8
112,67,3
89,13,3
63,11,4
94,12,1
15,97,3
80,68,3
80,73,1
34,105,1
84,80,3
71,105,1
109,94,1
113,59,1
112,68,2
115,88,1
76,26,2
30,88,3
115,33,6
76,70,3
58,10,1
13,72,4
85,54,5
50,105,2
90,86,5
90,106,1
16,107,1
57,54,11
73,11,3
53,29,2
62,59,7
102,93,1
54,71,2
41,44,2
38,49,6
53,107,3
96,51,2
62,77,4
81,92,1
104,94,1
108,23,3
111,38,4
58,68,2
114,32,5
69,97,2
52,53,3
17,99,1
72,60,4
78,40,1
51,57,4
30,32,10
103,11,3
88,32,1
58,70,1
53,51,6
104,23,2
66,96,1
6,95,1
24,45,4
59,107,4
82,56,1
47,73,1
45,41,1
102,14,5
115,26,2
75,66,4
7,60,1
33,108,3
81,37,3
61,74,1
102,95,1
103,99,2
33,33,4
11,67,2
36,33,5
28,103,7
28,107,2
113,78,1
64,108,5
114,84,1
81,51,3
109,64,2
116,26,4
40,71,1
91,87,9
40,60,2
41,35,1
106,19,3
95,22,1
109,28,2
67,62,7
32,97,3
90,39,2
110,41,6
13,90,10
31,66,4
88,89,2
59,99,1
75,65,6
44,44,5
82,44,3
65,89,1
50,37,2
14,53,4
15,103,2
82,13,1
74,87,2
73,30,1
80,45,4
101,11,2
91,10,3
120,70,1
44,81,4
50,100,1
50,111,1
118,26,5
27,118,1
83,26,2
43,116,1
86,91,1
51,115,1
59,58,8
75,41,2
53,112,1
96,52,5
85,43,3
65,49,1
111,79,1
30,63,2
58,100,1
35,109,1
77,68,3
95,48,3
16,83,5
75,80,1
74,56,3
41,32,2
14,54,2
39,14,3
75,75,2
83,79,3
69,82,1
105,85,1
94,73,2
72,85,2
119,83,1
79,58,5
47,71,1
31,93,3
26,92,3
15,69,3
69,57,2
104,21,4
79,62,2
99,9,6
44,59,5
47,36,1
50,36,1
44,93,1
65,63,5
32,44,1
73,104,2
48,69,1
43,57,3
44,40,2
23,46,2
25,94,2
80,66,3
112,103,1
96,85,34
101,83,13
115,29,1
113,103,1
104,89,2
24,97,3
99,85,1
20,99,4
18,75,1
17,76,3
40,89,2
18,97,2
24,107,2
114,103,2
93,77,1
106,21,1
121,22,1
27,46,1
112,45,3
40,44,2
31,49,2
13,56,1
32,24,8
38,46,2
57,50,3
64,44,1
69,62,9
14,46,5
36,46,3
16,51,2
13,78,2
12,89,6
71,44,2
36,42,2
17,47,2
115,74,1
11,72,3
29,89,3
15,73,2
33,105,2
48,108,2
96,79,2
46,46,6
109,15,2
41,59,1
80,11,2
34,33,6
70,34,2
89,21,1
26,93,1
56,55,11
20,88,6
55,59,2
55,51,7
36,30,5
15,4,3
113,33,7
103,30,3
20,66,1
67,37,3
95,12,3
39,90,4
96,14,3
12,104,1
13,76,6
97,23,2
45,17,1
26,38,1
67,59,5
107,13,2
67,64,6
28,33,6
13,84,8
12,72,2
111,41,4
17,61,4
98,31,2
39,41,3
18,62,3
113,44,3
30,7,9
36,45,1
14,77,7
93,30,7
111,44,4
12,49,2
99,28,1
26,106,1
101,23,3
98,9,2
59,13,3
117,42,4
70,12,2
75,62,2
96,48,1
38,107,1
98,94,2
80,12,1
68,9,3
82,50,2
28,35,1
33,31,4
25,87,2
75,29,2
57,48,6
50,88,1
58,98,1
17,98,4
37,54,1
12,79,1
68,71,3
17,85,4
71,70,1
9,68,1
