x,y,Tier,WinLose
31,11,VeryHigh,0
113,108,VeryHigh,1
30,29,VeryHigh,0
112,106,VeryHigh,1
11,8,VeryHigh,0
14,55,VeryHigh,0
93,108,VeryHigh,1
115,108,VeryHigh,1
13,33,VeryHigh,0
45,13,VeryHigh,0
108,108,VeryHigh,1
92,85,VeryHigh,1
99,54,VeryHigh,1
36,13,VeryHigh,0
34,33,VeryHigh,0
42,19,VeryHigh,0
21,9,VeryHigh,0
10,10,VeryHigh,0
14,23,VeryHigh,0
13,33,VeryHigh,0
114,104,VeryHigh,1
14,11,VeryHigh,0
117,109,VeryHigh,1
111,74,VeryHigh,1
93,86,VeryHigh,1
113,107,VeryHigh,1
84,107,VeryHigh,1
45,61,VeryHigh,0
115,96,VeryHigh,1
10,11,VeryHigh,0
10,9,VeryHigh,0
73,105,VeryHigh,1
113,95,VeryHigh,1
12,12,VeryHigh,0
12,8,VeryHigh,0
112,104,VeryHigh,1
97,86,VeryHigh,0
37,44,VeryHigh,1
104,107,VeryHigh,0
114,100,VeryHigh,0
83,107,VeryHigh,0
117,108,VeryHigh,0
11,10,VeryHigh,1
13,11,VeryHigh,1
11,10,VeryHigh,1
13,11,VeryHigh,1
31,32,VeryHigh,1
53,107,VeryHigh,0
91,82,VeryHigh,0
16,79,VeryHigh,1
113,74,VeryHigh,0
88,107,VeryHigh,0
114,96,VeryHigh,0
68,39,VeryHigh,1
82,39,VeryHigh,1
45,11,VeryHigh,1
12,11,VeryHigh,0
11,14,VeryHigh,0
111,83,VeryHigh,1
106,107,VeryHigh,1
50,11,VeryHigh,0
10,11,VeryHigh,0
114,107,VeryHigh,1
28,23,VeryHigh,0
104,108,VeryHigh,1
117,108,VeryHigh,1
11,8,Normal,1
109,19,Normal,1
15,93,Normal,0
63,61,Normal,0
14,90,Normal,0
112,22,Normal,0
11,42,Normal,1
110,29,Normal,0
15,85,Normal,1
58,56,Normal,1
15,101,VeryHigh,0
118,108,VeryHigh,0
104,107,VeryHigh,0
58,69,VeryHigh,1
104,14,VeryHigh,0
61,66,VeryHigh,1
102,14,VeryHigh,1
12,86,VeryHigh,1
116,107,VeryHigh,0
35,79,VeryHigh,1
17,11,VeryHigh,0
11,11,VeryHigh,0
89,106,VeryHigh,1
10,10,VeryHigh,0
116,108,VeryHigh,1
12,11,VeryHigh,0
71,105,VeryHigh,1
21,20,VeryHigh,0
115,107,VeryHigh,1
116,108,VeryHigh,1
113,105,VeryHigh,1
10,7,VeryHigh,0
119,107,VeryHigh,1
114,106,VeryHigh,1
116,107,VeryHigh,1
11,12,VeryHigh,0
12,10,VeryHigh,0
116,110,VeryHigh,1
11,10,VeryHigh,0
9,8,VeryHigh,0
30,28,VeryHigh,0
8,11,VeryHigh,0
114,108,VeryHigh,1
115,107,VeryHigh,1
110,50,VeryHigh,1
11,18,VeryHigh,0
116,108,VeryHigh,1
15,11,VeryHigh,0
69,88,VeryHigh,1
12,11,VeryHigh,0
20,20,Normal,1
117,110,Normal,0
13,42,Normal,1
109,107,Normal,0
47,33,Normal,1
51,52,Normal,1
48,109,Normal,0
41,11,Normal,1
114,104,Normal,0
89,79,Normal,0
19,74,Normal,1
9,7,Normal,1
106,11,Normal,1
15,42,Normal,1
102,54,Normal,0
114,64,Normal,0
28,94,Normal,0
73,65,Normal,0
46,45,Normal,1
52,106,Normal,0
108,107,VeryHigh,0
111,76,VeryHigh,0
110,105,VeryHigh,0
26,29,VeryHigh,1
15,45,VeryHigh,1
107,106,VeryHigh,0
14,20,VeryHigh,1
11,12,VeryHigh,1
24,11,VeryHigh,1
115,108,VeryHigh,0
111,108,Normal,1
115,107,Normal,1
101,12,Normal,0
90,82,Normal,1
32,34,Normal,0
114,63,Normal,1
15,31,Normal,0
111,49,Normal,1
14,55,Normal,0
98,12,Normal,0
119,107,VeryHigh,0
9,7,VeryHigh,1
115,109,VeryHigh,0
113,105,VeryHigh,0
11,10,VeryHigh,1
13,9,VeryHigh,1
14,12,VeryHigh,1
28,11,VeryHigh,1
115,105,VeryHigh,0
118,112,VeryHigh,0
28,12,Normal,1
113,72,Normal,0
92,84,Normal,0
69,105,Normal,0
12,8,Normal,1
46,12,Normal,1
82,105,Normal,0
30,12,Normal,1
115,109,Normal,0
12,12,Normal,1
88,80,Normal,1
14,75,Normal,0
12,8,Normal,0
39,11,Normal,0
113,78,Normal,1
55,106,Normal,1
38,12,Normal,0
55,106,Normal,1
88,45,Normal,1
19,41,Normal,0
33,10,VeryHigh,1
26,11,VeryHigh,1
73,104,VeryHigh,0
115,105,VeryHigh,0
30,29,VeryHigh,1
22,10,VeryHigh,1
105,95,VeryHigh,0
117,108,VeryHigh,0
15,26,VeryHigh,1
112,107,VeryHigh,0
80,24,Normal,0
55,55,Normal,0
82,105,Normal,1
13,72,Normal,0
41,12,Normal,0
117,107,Normal,1
114,47,Normal,1
17,74,Normal,0
113,68,Normal,1
26,105,Normal,1
49,34,Normal,1
117,109,Normal,0
10,8,Normal,1
114,65,Normal,0
92,83,Normal,0
12,7,Normal,1
7,10,Normal,1
115,108,Normal,0
85,104,Normal,0
71,44,Normal,1
33,10,VeryHigh,1
9,8,VeryHigh,1
11,10,VeryHigh,1
13,13,VeryHigh,1
113,92,VeryHigh,0
112,101,VeryHigh,0
116,108,VeryHigh,0
113,107,VeryHigh,0
113,105,VeryHigh,0
9,7,VeryHigh,1
40,51,Normal,1
45,12,Normal,1
117,109,Normal,0
117,106,Normal,0
42,11,Normal,1
73,64,Normal,0
